3-19-2024 Session 1 ,,,,,,,,,,,,,,,,,,,,,,,
Matchup ID,Matchup Type ,Player,Opponent,W/L,MATCH 1,M1RW,M1RL,MATCH 2,M2RW,M2RL,MATCH 3,M3RW,M3RL,,,,,,,,,,
1,Quick ,Jun,Jun,W,W,3,1,L,1,3,W,3,0,,,,,,,,,,
2,Quick ,Jun,Jun,W,W,3,0,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,
3,Ranked,Jun,Asuka,W,W,3,2,W,3,0,N/A,N/A,N/A,,,,,,,,,,
4,Ranked,Jun,Victor,L,L,2,3,L,2,3,N/A,N/A,N/A,,,,,,,,,,
5,Ranked,Jun,Asuka,W,W,3,2,W,3,0,N/A,N/A,N/A,,,,,,,,,,
6,Ranked,Jun,Kuma,L,W,3,2,L,0,3,L,2,3,,,,,,,,,,
7,Ranked,Jun,Jin,W,W,3,1,W,3,0,N/A,N/A,N/A,,,,,,,,,,
8,Ranked,Jun,Steve,L,L,2,3,L,2,3,N/A,N/A,N/A,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
3-19-2024 Session 2 ,,,,,,,,,,,,,,,,,,,,,,,
Matchup ID,,,,,,,,,,,,,,,,,,,,,,,
1,Quick ,Jun,Reina,W,W,3,2,W,3,0,N/A,N/A,N/A,,,,,,,,,,
2,Quick ,Jun,Xiaoyu,L,L,2,3,L,0,3,N/A,N/A,N/A,,,,,,,,,,
3,Quick ,Jun,Dragunov,W,W,3,0,L,2,3,W,3,1,,,,,,,,,,
4,Quick ,Jun,Lee,W,W,3,0,L,2,3,W,3,2,,,,,,,,,,
5,Quick ,Jun,Asuka,W,W,3,1,W,3,0,N/A,N/A,N/A,,,,,,,,,,
6,Ranked,Jun,Bryan,L,L,1,3,L,2,3,N/A,N/A,N/A,,,,,,,,,,
7,Ranked,Jun,Yoshimitsu,W,W,3,0,W,3,1,N/A,N/A,N/A,,,,,,,,,,
8,Ranked,Jun,Law,L,W,3,1,L,1,3,L,2,3,,,,,,,,,,
9,Ranked,Jun,Kazuya ,W,W,3,1,W,3,0,N/A,N/A,N/A,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
3-21-2024 Session 1 ,,,,,,,,,,,,,,,,,,,,,,,
Matchup ID,,,,W/L,MATCH 1,M1RW,M1RL,MATCH 2,M2RW,M2RL,MATCH 3,M3RW,M3RL,,,,,,,,,,
1,Quick ,Jun,Jin ,L,L,1,3,W,3,1,L,2,3,,,,,,,,,,
2,Quick ,Jun,Asuka ,L,L,1,3,L,2,3,N/A,N/A,N/A,,,,,,,,,,
3,Quick ,Jun,King ,W,W,3,2,W,3,1,N/A,N/A,N/A,,,,,,,,,,
4,Ranked,Jun,Jin ,W,W,3,2,W,3,2,N/A,N/A,N/A,,,,,,,,,,
5,Ranked,Jun,King ,W,L,0,3,W,3,2,W,3,0,,,,,,,,,,
6,Ranked,Jun,King ,W,L,0,3,W,3,2,W,3,0,,,,,,,,,,
7,Ranked,Jun,Jun ,L,L,2,3,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,
8,Ranked,Jun,Paul ,L,L,2,3,L,2,3,N/A,N/A,N/A,,,,,,,,,,
9,Ranked,Jun,Lili ,W,W,3,0,W,3,0,N/A,N/A,N/A,,,,,,,,,,
10,Ranked,Jun,Leroy ,W,W,3,0,W,3,0,N/A,N/A,N/A,,,,,,,,,,
11,Ranked,Jun,Lili ,L,L,2,3,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,
