Session,Matchup ID,Matchup Type ,Player,Opponent,W/L,MATCH 1,M1RW,M1RL,MATCH 2,M2RW,M2RL,MATCH 3,M3RW,M3RL,,,,,,,,,,
2024-03-19,1,Quick ,Jun,Jun,W,W,3,1,L,1,3,W,3,0,,,,,,,,,,
2024-03-19,2,Quick ,Jun,Jun,W,W,3,0,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,
2024-03-19,3,Ranked,Jun,Asuka,W,W,3,2,W,3,0,N/A,N/A,N/A,,,,,,,,,,
2024-03-19,4,Ranked,Jun,Victor,L,L,2,3,L,2,3,N/A,N/A,N/A,,,,,,,,,,
2024-03-19,5,Ranked,Jun,Asuka,W,W,3,2,W,3,0,N/A,N/A,N/A,,,,,,,,,,
2024-03-19,6,Ranked,Jun,Kuma,L,W,3,2,L,0,3,L,2,3,,,,,,,,,,
2024-03-19,7,Ranked,Jun,Jin,W,W,3,1,W,3,0,N/A,N/A,N/A,,,,,,,,,,
2024-03-19,8,Ranked,Jun,Steve,L,L,2,3,L,2,3,N/A,N/A,N/A,,,,,,,,,,
2024-03-19,9,Quick ,Jun,Reina,W,W,3,2,W,3,0,N/A,N/A,N/A,,,,,,,,,,
2024-03-19,10,Quick ,Jun,Xiaoyu,L,L,2,3,L,0,3,N/A,N/A,N/A,,,,,,,,,,
2024-03-19,11,Quick ,Jun,Dragunov,W,W,3,0,L,2,3,W,3,1,,,,,,,,,,
2024-03-19,12,Quick ,Jun,Lee,W,W,3,0,L,2,3,W,3,2,,,,,,,,,,
2024-03-19,13,Quick ,Jun,Asuka,W,W,3,1,W,3,0,N/A,N/A,N/A,,,,,,,,,,
2024-03-19,14,Ranked,Jun,Bryan,L,L,1,3,L,2,3,N/A,N/A,N/A,,,,,,,,,,
2024-03-19,15,Ranked,Jun,Yoshimitsu,W,W,3,0,W,3,1,N/A,N/A,N/A,,,,,,,,,,
2024-03-19,16,Ranked,Jun,Law,L,W,3,1,L,1,3,L,2,3,,,,,,,,,,
2024-03-19,17,Ranked,Jun,Kazuya ,W,W,3,1,W,3,0,N/A,N/A,N/A,,,,,,,,,,
2024-03-21,18,Quick ,Jun,Jin ,L,L,1,3,W,3,1,L,2,3,,,,,,,,,,
2024-03-21,19,Quick ,Jun,Asuka ,L,L,1,3,L,2,3,N/A,N/A,N/A,,,,,,,,,,
2024-03-21,20,Quick ,Jun,King ,W,W,3,2,W,3,1,N/A,N/A,N/A,,,,,,,,,,
2024-03-21,21,Ranked,Jun,Jin ,W,W,3,2,W,3,2,N/A,N/A,N/A,,,,,,,,,,
2024-03-21,22,Ranked,Jun,King ,W,L,0,3,W,3,2,W,3,0,,,,,,,,,,
2024-03-21,23,Ranked,Jun,King ,W,L,0,3,W,3,2,W,3,0,,,,,,,,,,
2024-03-21,24,Ranked,Jun,Jun ,L,L,2,3,N/A,N/A,N/A,N/A,N/A,N/A,,,,,,,,,,
